Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",5,Willingness to take risk,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,4,Procrastinate,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 1800 THB and the same 50-percent chance of receiving nothing, OR Option 2: 120 THB as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",1,Risk 120,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,What would you prefer? Option 1: A payment of 600 THB today OR Option 2: 636.5999999999999 THB in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,1,Delay 636.5999999999999,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,Imagine someone did you a favor that cost them 30 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,100.0,Reciprocation 30,64,male,Thailand
dd9aacb7-77d6-4928-a532-d07347b35cbc,1b8a72b88b907f3eef09888b42cafaae5e0db4e4f4fd4373acfe564b07b58590,Imagine someone did you a favor that cost them 60 THB. How much would you be willing to spend to return the favor? Please answer with a single number.,133.33333333333331,Reciprocation 60,64,male,Thailand
