Participant ID,Participant Hash,Question,Answer,Short Title,Age,Gender,Country
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",7,Willingness to take risk,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",8,Personal retribution,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",3,Will do revenge,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,4,People have best intentions,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,6,Procrastinate,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 3000 AED and the same 50-percent chance of receiving nothing, OR Option 2: 100 AED as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 100,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,What would you prefer? Option 1: A payment of 700 AED today OR Option 2: 721.0 AED in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 721.0,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,What would you prefer? Option 1: A payment of 700 AED today OR Option 2: 742.6999999999999 AED in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 742.6999999999999,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,Imagine someone did you a favor that cost them 35 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,50 AED,Reciprocation 35,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,Imagine someone did you a favor that cost them 70 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,70,Reciprocation 70,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,Imagine someone did you a favor that cost them 105 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,105 AED,Reciprocation 105,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,Imagine someone did you a favor that cost them 140 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,140 AED,Reciprocation 140,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,Imagine someone did you a favor that cost them 140 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,140,Reciprocation 140,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,Imagine someone did you a favor that cost them 175 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,175,Reciprocation 175,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,Imagine someone did you a favor that cost them 210 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,210,Reciprocation 210,41,male,United Arab Emirates
133,72333e3650ec90aa1bfd4161f04eb91ef450419fbbaf241812fd97f91ee8d102,You unexpectedly received 7000.0 AED. How much of this amount would you donate to a good cause? Please answer with a single number.,1000.0,Donation 7000.0,41,male,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 6.,Willingness to take risk,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to delay consumption,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Retribution on others' behalf,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"Imagine the following situation: Today you unexpectedly received 1,600 U.S. dollars. How much of this amount would you donate to a good cause? Please answer with a single number.",500,Donate,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,"What would you prefer? Option 1: A draw with a 50-percent chance of receiving 3000 AED and the same 50-percent chance of receiving nothing, OR Option 2: 100 AED as a sure payment? Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.",Option 2,Risk 100,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,What would you prefer? Option 1: A payment of 700 AED today OR Option 2: 721.0 AED in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 721.0,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,What would you prefer? Option 1: A payment of 700 AED today OR Option 2: 742.6999999999999 AED in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 1,Delay 742.6999999999999,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,What would you prefer? Option 1: A payment of 700 AED today OR Option 2: 764.4000000000001 AED in 12 months. Please assume there is no inflation. Answer 'Option 1' or 'Option 2'. Don't add other words or explanations.,Option 2,Delay 764.4000000000001,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,Imagine someone did you a favor that cost them 35 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,50,Reciprocation 35,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,Imagine someone did you a favor that cost them 70 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,70,Reciprocation 70,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,Imagine someone did you a favor that cost them 105 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 100 AED to return the favor.,Reciprocation 105,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,Imagine someone did you a favor that cost them 140 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,140,Reciprocation 140,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,Imagine someone did you a favor that cost them 140 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,I would be willing to spend 140 AED to return the favor.,Reciprocation 140,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,Imagine someone did you a favor that cost them 175 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,175,Reciprocation 175,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,Imagine someone did you a favor that cost them 210 AED. How much would you be willing to spend to return the favor? Please answer with a single number.,210,Reciprocation 210,45,female,United Arab Emirates
134,848d037f17053f66bcf66be754f84b55dcdca95044bf9431d8d355e4ea1960fc,You unexpectedly received 7000.0 AED. How much of this amount would you donate to a good cause? Please answer with a single number.,1000.0,Donation 7000.0,45,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"How willing or unwilling are you to take risks? Using a scale from 0 to 10, please answer with a single number.",I would rate my willingness to take risks as a 5.,Willingness to take risk,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"How willing are you to give up something that is beneficial for you today in order to benefit more from that in the future? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Willingness to delay consumption,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"How willing are you to punish someone who treats you unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, please answer with a single number, don't add other words.",7,Personal retribution,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"How willing are you to punish someone who treats others unfairly, even if there may be costs for you? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",7,Retribution on others' behalf,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"How willing are you to give to good causes without expecting anything in return? Please indicate your answer on a scale from 0 to 10, answer with a single number, don't add other words.",8,Willingness to donate,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: When someone does me a favor, I am willing to return it.",8,Will return favor,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: If I am treated very unjustly, I will take revenge at the first occasion, even if there is a cost to do so.",4,Will do revenge,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I assume that people have only the best intentions.,7,People have best intentions,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I am good at math.,7,Good at math,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,How well does the following statement describe you? Please indicate your answer on a scale from 0 to 10. Please answer with a single number: I tend to postpone tasks even if I know it would be better to do them right away.,7,Procrastinate,62,female,United Arab Emirates
134,fe8e38f9ce38d0bcb122b18a96a6519fa95083b506e5fcbc08c3873e58e190a7,"You are in an area you are not familiar with, and you realize that you lost your way. You ask a stranger for directions. The stranger offers to take you to your destination. Helping you costs the stranger about 40 U.S. dollars in total. However, the stranger says they do not want any money from you. You have six presents with you with values 10, 20, 30, 50, and 60$ respectively. What is the value of the present you would give? Only answer with a single number, answer with 0 if you don't want to give one.",30,Present giving,62,female,United Arab Emirates
